Player,Pos,Squad,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err
Joao Moutinho,MF,Wolves,22.6,50,34,24,23,3,403,119,29.5,150,201,52,34,3,0,31,31,81,25,0
Joel Mumbongo,FW,Burnley,0.4,0,0,0,0,0,7,1,14.3,0,1,6,1,0,0,1,0,0,0,0
Jacob Murphy,"DF,MF",Newcastle Utd,10.1,26,17,13,10,3,192,45,23.4,76,71,45,25,2,0,23,11,37,15,0
Shkodran Mustafi,DF,Arsenal,0.5,1,1,1,0,0,7,2,28.6,3,4,0,1,0,0,1,0,1,2,0
Marvelous Nakamba,MF,Aston Villa,4.9,12,6,5,7,0,91,28,30.8,47,39,5,8,2,0,6,8,20,10,0
Iliman Ndiaye,MF,Sheffield Utd,0.1,0,0,0,0,0,8,1,12.5,1,4,3,1,0,0,1,0,0,0,0
Wilfred Ndidi,"MF,DF",Leicester City,16.5,74,47,39,28,7,328,123,37.5,144,160,24,51,10,0,41,32,106,56,0
Tanguy Ndombele,MF,Tottenham,20.5,46,29,11,23,12,382,125,32.7,111,201,70,29,4,0,25,25,71,19,0
Reiss Nelson,FW,Arsenal,0.8,0,0,0,0,0,13,6,46.2,2,6,5,1,0,0,1,1,1,1,0
Pedro Neto,"FW,MF",Wolves,28,21,18,7,6,8,336,95,28.3,85,147,104,25,2,0,23,29,50,11,0
Ruben Neves,MF,Wolves,24.1,71,53,37,30,4,465,151,32.5,203,223,39,59,8,0,51,39,110,45,1
Eddie Nketiah,FW,Arsenal,3.6,2,2,0,1,1,75,10,13.3,9,38,28,7,2,0,5,0,2,4,0
Niels Nkounkou,DF,Everton,0.8,4,0,2,1,1,20,4,20,6,9,5,4,0,0,4,0,4,4,0
Dan Nlundulu,FW,Southampton,1.2,0,0,0,0,0,28,7,25,5,8,15,5,0,0,5,0,0,2,0
Mark Noble,MF,West Ham,5.4,5,4,1,3,1,76,14,18.4,26,41,9,5,1,0,4,7,12,6,0
Oliver Norwood,MF,Sheffield Utd,16.7,38,20,18,19,1,285,69,24.2,114,139,32,23,8,0,15,24,62,40,1
Jack O'Connell,DF,Sheffield Utd,2,3,1,1,1,1,10,4,40,5,2,3,6,3,0,3,0,3,11,0
Dara O'Shea,DF,West Brom,20.3,46,28,29,14,3,211,76,36,131,66,14,48,18,1,30,30,76,128,0
Michael Obafemi,FW,Southampton,0.2,0,0,0,0,0,6,2,33.3,4,1,1,0,0,0,0,0,0,0,0
Denis Odoi,DF,Fulham,3,3,0,2,1,0,23,3,13,11,8,4,6,1,0,5,1,4,11,0
Angelo Ogbonna,DF,West Ham,22.7,21,14,17,3,1,177,72,40.7,112,57,8,34,12,0,22,19,40,140,0
Robin Olsen,GK,Everton,6,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,2,0
Josh Onomah,MF,Fulham,1.9,4,2,0,3,1,54,13,24.1,8,31,15,3,1,0,2,0,4,1,0
Divock Origi,FW,Liverpool,2.1,4,3,1,2,1,39,15,38.5,3,11,25,4,1,0,3,1,5,2,0
Ben Osborn,"MF,DF",Sheffield Utd,11.1,21,12,13,6,2,237,53,22.4,93,97,47,18,2,0,16,10,31,12,0
Owen Otasowie,MF,Wolves,1.3,5,4,3,2,0,23,12,52.2,7,13,3,3,1,0,2,3,8,1,0
Alex Oxlade-Chamberlain,"FW,MF",Liverpool,2.5,2,1,0,2,0,39,11,28.2,2,21,16,2,0,0,2,1,3,1,0
Emerson Palmieri,DF,Chelsea,1,3,2,1,1,1,14,3,21.4,6,3,5,2,0,0,2,1,4,10,0
Thomas Partey,MF,Arsenal,11.7,34,22,13,19,2,181,72,39.8,69,87,25,18,2,0,16,18,52,19,0
Rui Patricio,GK,Wolves,30,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0
Bailey Peacock-Farrell,GK,Burnley,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
Lee Peltier,DF,West Brom,2.5,10,7,9,1,0,32,12,37.5,15,14,3,2,0,0,2,2,12,12,0
Nicolas Pepe,FW,Arsenal,12.7,16,14,7,8,1,162,45,27.8,37,57,68,16,1,0,15,13,29,9,1
Matheus Pereira,"MF,FW",West Brom,21.8,27,17,10,12,5,359,99,27.6,85,183,91,22,0,0,22,24,51,15,0
Ricardo Pereira,"DF,FW",Leicester City,8.3,28,13,18,9,1,143,46,32.2,72,51,20,21,0,0,21,13,41,22,0
Ayoze Perez,"FW,MF",Leicester City,11.7,30,13,8,16,6,257,66,25.7,54,127,76,29,1,0,28,12,42,5,0
Kalvin Phillips,MF,Leeds United,21.5,60,34,37,18,5,442,144,32.6,185,216,41,48,12,0,36,36,96,47,0
Matt Phillips,"MF,DF",West Brom,13.4,14,8,3,7,4,207,46,22.2,61,83,63,38,4,1,34,10,24,11,0
Nathaniel Phillips,DF,Liverpool,10.2,9,5,6,3,0,118,45,38.1,51,63,4,13,9,0,4,12,21,80,0
Jordan Pickford,GK,Everton,22.5,0,0,0,0,0,6,1,16.7,6,0,0,1,0,0,1,0,0,3,2
Erik Pieters,"DF,MF",Burnley,13.1,33,21,19,12,2,188,45,23.9,86,77,25,42,9,1,33,10,43,37,0
Daniel Podence,"FW,MF",Wolves,15.1,18,7,5,8,5,182,51,28,38,79,65,5,1,0,4,12,30,6,0
Paul Pogba,"MF,FW",Manchester Utd,15.9,33,23,13,16,4,222,77,34.7,74,95,53,16,1,0,15,19,52,38,0
Nick Pope,GK,Burnley,29,0,0,0,0,0,7,2,28.6,7,0,0,0,0,0,0,0,0,3,1
Dennis Praet,"MF,FW",Leicester City,7.3,12,7,5,6,1,126,30,23.8,35,60,31,14,2,0,12,8,20,3,0
Davy Propper,MF,Brighton,2.4,7,5,0,7,0,30,13,43.3,13,15,2,2,0,0,2,2,9,0,0
Christian Pulisic,FW,Chelsea,12.5,14,8,8,6,0,197,62,31.5,44,96,57,22,2,0,20,7,21,9,0
Aaron Ramsdale,GK,Sheffield Utd,30,0,0,0,0,0,7,2,28.6,6,0,1,0,0,0,0,0,0,1,3
Jacob Ramsey,MF,Aston Villa,4.5,6,5,1,4,1,121,35,28.9,39,56,26,11,3,0,8,4,10,4,0
Kayne Ramsey,DF,Southampton,1,5,3,4,1,0,8,5,62.5,7,1,0,1,1,0,0,1,6,4,0
Darren Randolph,GK,West Ham,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
Marcus Rashford,FW,Manchester Utd,27.2,9,6,2,2,5,264,58,22,33,107,124,21,3,0,18,10,19,7,0
Tim Ream,DF,Fulham,5,5,2,5,0,0,25,6,24,12,13,0,9,4,0,5,3,8,17,1
Nathan Redmond,"MF,FW",Southampton,13,22,12,9,10,3,241,65,27,45,105,91,15,1,0,14,11,33,6,0
Harrison Reed,MF,Fulham,22.6,62,36,27,32,3,473,140,29.6,214,215,44,45,11,0,34,47,109,55,0
Sergio Reguilon,DF,Tottenham,17.2,41,23,29,10,2,271,76,28,137,89,45,38,5,0,33,23,64,53,0
Bobby Reid,"FW,DF",Fulham,19.6,26,17,10,10,6,298,80,26.8,93,108,97,32,5,0,27,12,38,37,0
Declan Rice,MF,West Ham,29,71,49,43,27,1,437,132,30.2,188,215,34,50,11,0,39,61,132,43,1
Lewis Richardson,"FW,MF",Burnley,0,0,0,0,0,0,3,2,66.7,0,2,1,0,0,0,0,0,0,0,0
Richarlison,FW,Everton,23,37,25,24,10,3,357,104,29.1,93,152,112,26,2,0,24,12,49,27,0
Jairo Riedewald,MF,Crystal Palace,15.7,27,17,11,13,3,216,60,27.8,92,103,21,39,7,0,32,14,41,24,0
Matt Ritchie,"DF,MF",Newcastle Utd,7.1,10,5,4,4,2,75,22,29.3,35,27,13,15,1,0,14,10,20,24,0
Tyler Roberts,"MF,FW",Leeds United,10.2,13,7,3,8,2,161,43,26.7,25,79,57,16,3,0,13,5,18,9,0
Andrew Robertson,DF,Liverpool,29.6,35,19,20,11,4,243,90,37,78,85,80,50,9,1,41,24,59,60,1
Antonee Robinson,DF,Fulham,20,38,21,22,10,6,185,66,35.7,92,49,44,46,5,0,41,36,74,74,0
Callum Robinson,"FW,MF",West Brom,13.8,12,7,7,3,2,203,47,23.2,30,77,96,12,0,0,12,11,23,9,0
Jack Robinson,DF,Sheffield Utd,6.7,12,8,7,5,0,56,21,37.5,31,18,7,9,4,0,5,6,18,32,0
Hal Robson-Kanu,"FW,MF",West Brom,3.1,2,2,1,1,0,47,8,17,4,22,21,3,0,0,3,1,3,3,0
Marek Rodak,GK,Fulham,1,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0
Joe Rodon,DF,Tottenham,6.1,12,8,10,2,0,55,16,29.1,42,13,0,13,8,0,5,12,24,45,2
Rodri,MF,Manchester City,25.1,72,54,28,32,12,403,153,38,129,218,56,34,8,0,26,29,101,52,1
Rodrigo,"MF,FW",Leeds United,12.1,19,11,11,5,3,211,58,27.5,40,102,69,9,0,0,9,7,26,12,0
James Rodríguez,"FW,MF",Everton,15.8,18,13,5,10,3,189,49,25.9,61,85,43,23,0,0,23,13,31,1,0
Jay Rodriguez,"FW,MF",Burnley,12.7,28,14,8,11,9,271,57,21,41,118,112,24,4,0,20,4,32,6,0
Oriol Romeu,MF,Southampton,19.2,68,35,27,37,4,339,103,30.4,126,189,24,32,6,0,26,25,93,19,0
John Ruddy,GK,Wolves,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
Antonio Rudiger,DF,Chelsea,13,21,11,12,7,2,92,41,44.6,47,36,9,14,9,0,5,11,32,57,0
Mathew Ryan,GK,Arsenal,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
Mathew Ryan,GK,Brighton,11,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,1,0
Allan Saint-Maximin,"FW,MF",Newcastle Utd,10.8,13,9,5,7,1,127,34,26.8,20,70,37,8,1,0,7,7,20,0,0
Romain Saiss,DF,Wolves,20.7,23,13,18,5,0,192,62,32.3,126,62,4,38,13,2,25,24,47,125,1
Bukayo Saka,"FW,DF",Arsenal,23,26,15,9,13,4,312,88,28.2,75,133,104,35,2,0,33,19,45,22,0
Mamadou Sakho,DF,Crystal Palace,3.1,4,2,1,3,0,14,6,42.9,8,6,0,3,2,0,1,0,4,14,1
Mohamed Salah,FW,Liverpool,27,25,12,6,8,11,391,116,29.7,28,116,247,8,1,0,7,6,31,7,1
Mohammed Salisu,DF,Southampton,4,13,6,9,3,1,65,25,38.5,30,32,3,6,1,0,5,14,27,12,0
Davinson Sanchez,DF,Tottenham,15.5,37,24,28,9,0,144,47,32.6,95,42,7,17,11,0,6,12,49,111,0
Robert Sanchez,GK,Brighton,19,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Morgan Sanson,MF,Aston Villa,3.3,7,6,6,1,0,103,34,33,30,48,25,4,0,0,4,7,14,4,0
Romaine Sawyers,MF,West Brom,16.5,31,19,21,9,1,332,81,24.4,165,143,24,18,2,0,16,22,53,14,1
Dane Scarlett,FW,Tottenham,0,0,0,0,0,0,1,1,100,0,1,0,0,0,0,0,0,0,0,0
Fabian Schar,DF,Newcastle Utd,13.4,18,9,14,4,0,107,31,29,63,40,4,23,13,0,10,21,39,61,1
Jeffrey Schlupp,MF,Crystal Palace,11.7,20,10,11,7,2,166,44,26.5,65,73,28,29,7,0,22,11,31,9,1
Kasper Schmeichel,GK,Leicester City,30,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0
Nelson Semedo,DF,Wolves,26.5,64,40,42,14,8,422,115,27.3,206,139,77,49,11,0,38,36,100,61,0
Jamie Shackleton,"MF,DF",Leeds United,5.1,8,5,4,4,0,74,18,24.3,21,37,16,7,1,0,6,6,14,5,0
Xherdan Shaqiri,"MF,FW",Liverpool,5.8,6,4,4,1,1,88,31,35.2,17,33,38,7,0,0,7,4,10,2,0
Billy Sharp,FW,Sheffield Utd,8.2,7,5,0,5,2,145,34,23.4,13,63,69,2,0,0,2,3,10,1,0
Luke Shaw,DF,Manchester Utd,23.5,51,37,24,18,9,287,109,38,98,124,65,54,7,0,47,20,71,49,1
Jonjo Shelvey,MF,Newcastle Utd,21.1,37,21,20,15,2,281,58,20.6,108,126,47,19,8,1,11,25,62,42,0
Shola Shoretire,FW,Manchester Utd,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0
Gylfi Sigurdsson,MF,Everton,17.4,24,13,6,13,5,326,82,25.2,79,167,80,43,4,0,39,19,43,11,0
Bernardo Silva,"MF,FW",Manchester City,19.1,27,16,11,11,5,308,85,27.6,57,154,97,15,1,0,14,18,45,7,0
Fabio Silva,FW,Wolves,9.6,5,2,1,4,0,148,34,23,17,81,50,9,1,0,8,4,9,3,0
Thiago Silva,DF,Chelsea,16.5,20,12,14,5,1,78,30,38.5,34,40,4,20,11,1,9,16,36,81,1
Moussa Sissoko,MF,Tottenham,16.3,23,18,19,3,1,212,65,30.7,120,71,21,23,4,0,19,16,39,31,0
Islam Slimani,FW,Leicester City,0.2,0,0,0,0,0,5,2,40,0,3,2,0,0,0,0,0,0,0,0
William Smallbone,MF,Southampton,1.9,6,4,2,3,1,43,18,41.9,9,21,13,5,0,0,5,1,7,2,0
Emile Smith-Rowe,"MF,FW",Arsenal,10.5,10,6,4,4,2,174,48,27.6,36,73,65,14,1,0,13,8,18,9,0
Robert Snodgrass,"MF,FW",West Brom,5.8,20,12,13,5,2,86,25,29.1,34,34,18,13,3,0,10,4,24,11,0
Robert Snodgrass,"FW,DF",West Ham,0.1,1,1,0,0,1,0,0,,0,0,0,0,0,0,0,0,1,0,0
Cedric Soares,DF,Arsenal,8.3,16,10,9,5,2,114,35,30.7,51,42,21,14,2,0,12,8,24,21,0
Tomas Soucek,MF,West Ham,30,65,38,29,29,7,452,126,27.9,155,227,70,42,14,0,28,43,108,110,1
Caglar Soyuncu,DF,Leicester City,13.2,17,11,10,7,0,104,34,32.7,63,38,3,16,8,0,8,15,32,78,1
Zack Steffen,GK,Manchester City,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
Dale Stephens,MF,Burnley,2.9,10,4,3,5,2,48,15,31.3,15,27,6,3,0,0,3,3,13,0,0
Jack Stephens,DF,Southampton,12.1,26,13,15,10,1,106,34,32.1,55,46,5,27,9,0,18,14,40,65,0
Raheem Sterling,FW,Manchester City,23.2,19,17,3,13,3,235,69,29.4,28,111,96,15,1,0,14,12,31,2,0
Enda Stevens,DF,Sheffield Utd,22,37,19,20,13,4,298,69,23.2,145,105,48,48,9,0,39,32,69,78,2
John Stones,DF,Manchester City,18,14,7,10,2,2,105,38,36.2,49,48,8,28,13,0,15,15,29,57,0
Pascal Struijk,"DF,MF",Leeds United,16.8,37,16,22,14,1,272,87,32,140,116,16,36,15,0,21,28,65,69,0
Japhet Tanganga,DF,Tottenham,3.5,1,1,1,0,0,36,12,33.3,23,9,4,7,3,0,4,1,2,11,0
Matt Targett,DF,Aston Villa,28.8,73,41,41,19,13,287,93,32.4,147,91,49,55,12,0,43,35,108,95,1
James Tarkowski,DF,Burnley,28,56,30,48,6,2,186,75,40.3,126,53,7,55,33,1,22,41,97,173,1
Percy Tau,"FW,MF",Brighton,0.9,1,0,1,0,0,23,2,8.7,8,9,6,2,0,0,2,0,1,0,0
Sidnei Tavares,MF,Leicester City,0.9,0,0,0,0,0,19,7,36.8,8,9,2,1,1,0,0,1,1,0,0
Charlie Taylor,DF,Burnley,20,32,17,17,10,5,167,47,28.1,67,73,27,45,14,0,31,17,49,64,0
Neil Taylor,DF,Aston Villa,0.2,1,0,1,0,0,4,0,0,3,0,1,0,0,0,0,0,1,0,0
Allan Tchaptchet,DF,Southampton,0.1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Nathan Tella,"FW,MF",Southampton,5,4,2,1,1,2,127,33,26,17,64,46,9,0,0,9,4,8,2,0
Alex Telles,DF,Manchester Utd,5.7,8,4,7,1,0,49,16,32.7,25,16,8,8,0,0,8,5,13,17,0
Kenny Tete,DF,Fulham,12.8,45,22,26,14,5,192,53,27.6,96,64,32,26,5,0,21,21,66,54,0
Luke Thomas,DF,Leicester City,4.5,9,2,3,1,5,84,25,29.8,39,32,13,15,3,0,12,5,14,15,0
Youri Tielemans,MF,Leicester City,29.3,54,40,22,22,10,391,129,33,125,192,74,44,8,0,36,25,79,20,0
Kieran Tierney,DF,Arsenal,22.4,26,15,7,13,6,177,58,32.8,65,75,37,42,10,0,32,14,40,69,0
James Tomkins,DF,Crystal Palace,4.3,4,2,3,1,0,25,6,24,20,5,0,4,1,0,3,2,6,37,0
Fikayo Tomori,DF,Chelsea,0.5,3,2,1,2,0,3,1,33.3,3,0,0,4,3,0,1,1,4,8,0
Ferran Torres,FW,Manchester City,10.4,8,4,2,3,3,150,42,28,23,63,64,8,1,0,7,4,12,2,0
Cenk Tosun,FW,Everton,0.5,0,0,0,0,0,8,1,12.5,2,4,2,0,0,0,0,0,0,0,0
Andros Townsend,"MF,FW",Crystal Palace,20.1,54,28,31,16,7,411,101,24.6,191,162,58,46,1,0,45,39,93,12,0
Conor Townsend,DF,West Brom,16.8,31,17,21,9,1,179,52,29.1,87,71,21,25,8,2,17,29,60,38,0
Adama Traore,FW,Wolves,22.8,24,16,11,10,3,257,76,29.6,66,137,54,21,0,0,21,10,34,14,0
Bertrand Traore,FW,Aston Villa,17.9,18,6,6,4,8,247,47,19,65,106,76,16,0,0,16,21,39,14,0
Trezeguet,FW,Aston Villa,12.1,29,16,13,10,6,265,60,22.6,81,102,82,24,1,0,23,10,39,16,0
Leandro Trossard,"FW,MF",Brighton,22.8,24,17,6,14,4,314,102,32.5,82,123,109,32,4,0,28,16,40,4,0
Kostas Tsimikas,DF,Liverpool,0.1,0,0,0,0,0,4,3,75,0,2,2,0,0,0,0,0,0,0,0
Axel Tuanzebe,DF,Manchester Utd,1.5,5,2,2,3,0,24,6,25,14,9,1,6,3,0,3,0,5,4,0
Cengiz Under,"MF,FW",Leicester City,3.1,3,3,0,2,1,44,15,34.1,11,18,15,5,0,0,5,3,6,0,0
Yan Valery,"DF,MF",Southampton,1.1,3,2,1,2,0,32,9,28.1,13,11,8,5,0,0,5,3,6,5,0
Jamie Vardy,FW,Leicester City,23.7,14,8,3,4,7,228,61,26.8,13,85,130,11,4,0,7,5,19,24,0
Joel Veltman,DF,Brighton,21.3,67,36,41,19,7,264,83,31.4,125,98,41,31,4,0,27,27,94,73,0
Jannik Vestergaard,DF,Southampton,21.5,41,28,26,12,3,152,64,42.1,100,45,7,28,14,0,14,25,66,118,1
Ruben Vinagre,DF,Wolves,1.9,5,3,3,2,0,26,5,19.2,13,9,4,4,0,0,4,1,6,6,0
Carlos Vinicius,FW,Tottenham,3.4,2,1,1,0,1,51,14,27.5,4,21,26,2,0,0,2,1,3,5,0
Vitinha,MF,Wolves,2.8,6,4,2,3,1,58,17,29.3,17,33,8,0,0,0,0,0,6,1,0
Jake Vokins,DF,Southampton,0.7,0,0,0,0,0,10,2,20,6,4,0,0,0,0,0,0,0,1,0
Matij Vydra,FW,Burnley,10.6,5,3,1,2,2,213,60,28.2,7,85,121,12,1,0,11,4,9,5,0
Theo Walcott,"MF,FW",Southampton,14.7,25,16,11,9,5,276,84,30.4,78,116,82,18,1,0,17,6,31,4,0
Kyle Walker,DF,Manchester City,18.6,35,26,17,14,4,208,66,31.7,72,100,36,24,4,0,20,12,47,28,0
Kyle Walker-Peters,DF,Southampton,21.8,64,35,44,18,2,295,93,31.5,156,109,30,53,12,0,41,29,93,49,1
Aaron Wan-Bissaka,DF,Manchester Utd,28,86,45,50,30,6,360,113,31.4,163,148,49,99,12,0,87,49,135,81,0
Joel Ward,DF,Crystal Palace,17.1,34,20,24,10,0,235,68,28.9,136,68,31,37,9,0,28,33,67,76,1
James Ward-Prowse,MF,Southampton,30,64,44,29,28,7,436,138,31.7,146,230,60,55,4,0,51,38,102,62,0
Ollie Watkins,FW,Aston Villa,29,30,19,5,16,9,455,138,30.3,27,187,241,15,1,0,14,9,39,18,0
Caleb Watts,"MF,FW",Southampton,0.4,2,1,2,0,0,20,7,35,9,8,3,3,0,0,3,0,2,0,0
Adam Webster,DF,Brighton,21.8,23,14,15,6,2,148,59,39.9,64,64,20,32,15,1,17,26,49,87,0
Danny Welbeck,FW,Brighton,11.1,10,6,3,4,3,153,40,26.1,25,63,65,16,3,0,13,4,14,9,0
Timo Werner,FW,Chelsea,23.7,24,15,8,11,5,301,91,30.2,60,116,125,20,0,0,20,6,30,4,0
Ashley Westwood,MF,Burnley,29.9,22,11,8,11,3,356,96,27,107,198,51,40,9,0,31,37,59,40,0
Ben White,"DF,MF",Brighton,28.5,48,28,23,21,4,318,110,34.6,145,144,29,48,16,0,32,28,76,61,0
Georginio Wijnaldum,MF,Liverpool,26.2,26,20,7,14,5,313,115,36.7,93,153,67,31,3,0,28,13,39,18,1
Brandon Williams,DF,Manchester Utd,0.1,1,1,0,1,0,4,2,50,0,3,1,0,0,0,0,1,2,0,0
Neco Williams,DF,Liverpool,2.8,6,5,4,2,0,42,11,26.2,17,16,9,8,1,0,7,5,11,4,0
Rhys Williams,DF,Liverpool,2.4,2,2,0,2,0,11,3,27.3,5,4,2,1,0,0,1,1,3,23,1
Willian,"FW,MF",Arsenal,13.3,15,6,8,6,1,177,47,26.6,40,70,67,22,0,0,22,11,26,3,0
Joe Willock,MF,Newcastle Utd,6.7,19,15,13,4,2,228,48,21.1,92,87,49,17,2,0,15,23,42,12,0
Callum Wilson,FW,Newcastle Utd,20.1,12,9,2,5,5,279,82,29.4,22,111,146,17,3,0,14,3,15,10,1
