Player,Pos,Squad,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err
Isaac Hayden,"MF,DF",Newcastle Utd,21.6,50,34,14,28,8,407,101,24.8,159,194,54,42,8,0,34,47,97,57,1
Michael Hector,DF,Fulham,2.9,7,5,4,3,0,28,11,39.3,21,7,0,6,3,1,3,0,7,11,0
Ahmed Hegazi,DF,West Brom,1,0,0,0,0,0,10,4,40,8,2,0,2,0,0,2,0,0,11,0
Dean Henderson,GK,Manchester Utd,6.5,0,0,0,0,0,3,1,33.3,3,0,0,0,0,0,0,0,0,0,0
Jordan Henderson,"MF,DF",Liverpool,18.9,19,9,8,7,4,183,60,32.8,59,85,39,28,4,1,24,27,46,44,1
Jeff Hendrick,MF,Newcastle Utd,15.6,6,4,3,3,0,171,47,27.5,40,103,28,23,8,0,15,12,18,27,0
Pablo Hernandez,MF,Leeds United,3.8,5,2,2,1,2,64,17,26.6,9,35,20,2,0,0,2,4,9,1,0
Son Heung-min,FW,Tottenham,26.6,18,8,7,8,3,466,106,22.7,95,243,128,28,3,0,25,19,37,3,0
Ki-Jana Hoever,DF,Wolves,4.4,13,8,10,2,1,99,21,21.2,59,35,5,5,1,0,4,8,21,11,0
Rob Holding,DF,Arsenal,21.4,28,14,19,6,3,226,65,28.8,143,72,11,37,21,0,16,15,43,117,0
Mason Holgate,DF,Everton,18.6,53,30,31,15,7,227,66,29.1,110,85,32,42,8,0,34,31,84,80,1
Conor Hourihane,MF,Aston Villa,2.5,0,0,0,0,0,17,6,35.3,4,6,7,3,0,0,3,0,0,2,0
Callum Hudson-Odoi,"FW,DF",Chelsea,10,20,11,10,5,5,125,42,33.6,31,54,40,14,0,0,14,7,27,5,0
Niall Huggins,DF,Leeds United,0.4,0,0,0,0,0,9,1,11.1,4,3,2,0,0,0,0,0,0,0,0
Pierre Hojbjerg,MF,Tottenham,30,100,69,52,37,11,605,174,28.8,255,288,62,40,7,0,33,34,134,74,0
Odion Ighalo,FW,Manchester Utd,0.1,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0
Kelechi Iheanacho,FW,Leicester City,8.9,6,5,2,4,0,148,31,20.9,14,81,53,13,1,0,12,2,8,1,0
Danny Ings,FW,Southampton,19.7,20,11,6,11,3,311,81,26,42,126,143,39,2,0,37,7,27,15,1
Branislav Ivanovic,DF,West Brom,8.5,14,5,9,5,0,83,18,21.7,54,28,1,15,7,0,8,3,17,31,0
Alex Iwobi,"FW,DF",Everton,14.7,28,18,14,12,2,168,59,35.1,77,52,39,16,1,0,15,15,43,12,0
Phil Jagielka,DF,Sheffield Utd,5.8,9,4,5,3,1,56,17,30.4,40,16,0,15,6,0,9,12,21,46,2
Alireza Jahanbakhsh,"FW,MF",Brighton,3,4,2,0,3,1,41,12,29.3,4,15,22,4,0,0,4,2,6,0,0
Daniel James,FW,Manchester Utd,8.3,10,8,3,3,4,176,37,21,35,71,70,11,0,0,11,9,19,2,0
Reece James,DF,Chelsea,20.1,51,28,31,15,5,278,73,26.3,122,122,34,46,6,0,40,35,86,36,0
Alexandre Jankewitz,MF,Southampton,0,2,0,1,1,0,8,2,25,4,4,0,0,0,0,0,0,2,0,0
Gabriel Jesus,FW,Manchester City,17.5,18,9,6,5,7,252,72,28.6,29,89,134,13,1,0,12,14,32,2,0
Raul Jimenez,FW,Wolves,9.1,7,4,1,4,2,90,22,24.4,12,36,42,8,1,0,7,6,13,10,1
Joelinton,"FW,MF",Newcastle Utd,18.1,38,22,8,23,7,328,81,24.7,69,167,92,32,3,0,29,16,54,19,0
Ben Johnson,DF,West Ham,4.6,6,1,5,0,1,64,10,15.6,36,18,10,5,1,0,4,8,14,11,0
Sam Johnstone,GK,West Brom,29,0,0,0,0,0,2,2,100,2,0,0,0,0,0,0,0,0,0,1
Curtis Jones,MF,Liverpool,12.1,19,15,7,7,5,201,62,30.8,42,94,65,18,0,0,18,16,35,10,1
Jorginho,MF,Chelsea,16.8,45,28,22,18,5,328,122,37.2,122,172,34,29,3,0,26,32,77,17,0
Willian Jose,FW,Wolves,8.1,1,1,0,0,1,82,27,32.9,4,44,34,7,1,0,6,2,3,7,0
Diogo Jota,FW,Liverpool,8.1,8,5,2,4,2,178,44,24.7,39,68,71,5,0,0,5,7,15,3,0
James Justin,DF,Leicester City,23,63,28,41,18,4,347,110,31.7,183,107,57,54,11,0,43,24,87,64,0
Ozan Kabak,DF,Liverpool,5.9,11,5,6,4,1,57,22,38.6,29,26,2,4,3,0,1,4,15,36,1
Aboubakar Kamara,"FW,DF",Fulham,3.5,2,2,2,0,0,71,13,18.3,13,27,31,10,1,0,9,2,4,2,0
Harry Kane,FW,Tottenham,27.3,13,8,3,8,2,318,77,24.2,20,158,140,26,11,1,15,12,25,34,0
NGolo Kante,MF,Chelsea,21.1,79,50,37,37,5,406,144,35.5,180,170,56,53,5,0,48,56,135,26,0
Moise Kean,FW,Everton,0.2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Michael Keane,DF,Everton,26.2,24,13,16,6,2,148,50,33.8,96,45,7,55,29,0,26,33,57,149,2
Neeskens Kebano,"FW,MF",Fulham,1.3,1,1,1,0,0,30,9,30,4,13,13,5,0,0,5,0,1,1,0
Naby Keita,MF,Liverpool,5.8,7,5,4,2,1,144,37,25.7,18,75,51,11,0,0,11,12,19,6,0
